,Date,User,Tweet
0,2022-11-14 09:48:53+00:00,tonytendai,"I don't know how it started but calling Nigerians #Jollofs is no different from blacks being called Negros or Keffirs ...

It is not only wrong but it is absurd...especially when black people are saying it. We have and are still called names and we know how it makes us feel. https://t.co/9DeWgavnVL"
1,2022-11-13 13:55:10+00:00,THEMBAMAZI1,@QueenKunta_198 🤣🙆‍♂️🤣 and you #jolofina u are proud to be dating those criminals 🤷‍♂️🤷‍♂️ wait until they send your video like they did to the other #jolofina
2,2022-11-13 09:21:05+00:00,trankwility,"@ThusoMbedu is dating @JohnBoyega , does that make her a #jolofina, @KhanyiDhlomo is also a Jollofina hey? We take the best, 1percent of the 1 percent , creme de creme Yerrrrr 😀😀"
3,2022-11-12 15:58:11+00:00,THEMBAMAZI1,@_SAPatriot @Mpu2mi @Kea91492014 🤣😂🤣 all jolifinas wil gather and insult him mina lapho #im sharing the video for my friends to see the biggest #jolofina who happen to be in parliament 😁😁🤣😂
4,2022-11-12 08:32:43+00:00,DatBrothaD2,"Somebody please🎙️ re-record the song Sarafina. Buy this time call it Jolofina 😆 Jolofina..! Jolofina..! Jolofina Mamaye!! 😆🎶😆🎶🎧

#Jolofina #OperationDudula #Foreigners"
5,2022-11-12 07:32:08+00:00,THEMBAMAZI1,@LuckyKunene2024 Bayakudzakwela laba 🤣😂🤣 labo #jolofina
6,2022-11-12 04:02:14+00:00,basicmazzi,Ladies can you hook me up with some #chickenlicken single life is killing Bro out here #Jolofina #ZaneleSifuba #Mbali https://t.co/Nyggwmcreq
7,2022-11-12 03:39:56+00:00,MontecarlloV,#Jolofina Landing in Lagos! https://t.co/K0G4zYwmMD
8,2022-11-01 06:25:59+00:00,betmaster227,"One of them always talks shit about SA men and says she only dates foreigners, you will decide for yourself who  #PodcastAndChillWithMacG #Halloween #jolofina https://t.co/fdh3tPfOpp"
9,2022-10-27 21:19:14+00:00,BehansPen,"@ruth_wishart The same old propaganda, used for Brexit and taken in by the hard of learning #xenophia"
10,2022-09-23 11:52:35+00:00,graceym1,"#PrayforHarryMegan
Apparently even the #RoyalsFamily do it #saynotobullying
#RoyalFamilyAreBullies
#SayNoToRacism
#saynoto #xenophia 
#mentalhealthsupport
#ARMY #services https://t.co/dsk56xrQ0N"
11,2022-04-20 11:56:43+00:00,AfricansRising,"#Xenophia led to the violent murder of Elvis Nyathi, a Zimbabwean national living in South Africa, on 6 April. We condemn this brutal attack. 

Read our statement here: https://t.co/xsS457Gelt. 

#AfricansRising
#AfricanLivesMatter https://t.co/TEJbZZ49VX"
12,2022-04-15 20:31:27+00:00,zsszonyane,"@VOA_Wandera @tendaimadondo on violence, one thing that never happened in ZA post the fall of the white regime was to debrief citizens on violent response in resolving challenges. But some foreigners are not in ZA for good reasons

#AFRICA #Xenophia
https://t.co/GR0zTZOZ4i"
13,2022-03-02 13:31:39+00:00,Leecampbelluk,@PeteHaddock1 This is the point Pete our anti racist agenda is out of control. Doing what we are doing makes our problems worse not better. #xenophia
14,2022-02-26 07:01:33+00:00,Ojay10351605,"@andersleijersta It’s amazing how many Brexit supporting GB News watching Tories from Enfield, or Suffolk etc ‘like’ a bigoted nonsense posts about the Welsh language - people who’ll be completely unaffected by the language. I wonder what could be fuelling their opinion… 🤔
#xenophia #ignorance https://t.co/qbvqifyRo5"
15,2021-12-05 11:55:26+00:00,NicolasAriasA,"This disrespectful and extremely xenophobic piece of shit was drawn by someone, edited by someone else, final checked by someone else, and sent for printout by someone else. I wonder if really no one in the chain thought: ‘this is fucking wrong’ #OmnicronVariant #xenophia https://t.co/YgKMDKnUy2"
16,2021-09-08 05:26:05+00:00,whitenitwits,#xenophia #ageism #ableism #alcoholics #hannover #germany https://t.co/joTg6Yn5Il
